contact_uuid,first_name,last_name,source,language_code,decision,country,region,state,messages,topic
94c1b944-fa30-4d06-9b6c-5997db664906,Имя_9,Фамилия_25,GMO,ru,I am not sure about Jesus,Беларусь,Киев,Киевская область,Как мне найти поддержку среди христиан?,General
94c1b944-fa30-4d06-9b6c-5997db664907,Имя_30,Фамилия_37,GMO,ru,I just decided to follow Jesus,Беларусь,Алматы,Московская область,Как бороться с искушениями в повседневной жизни?,General
94c1b944-fa30-4d06-9b6c-5997db664908,Имя_96,Фамилия_9,GMO,ru,I do not want to follow Jesus,Украина,Киев,Киевская область,Как мне преодолеть страх перед будущим?,General
94c1b944-fa30-4d06-9b6c-5997db664909,Имя_94,Фамилия_68,GMO,ru,I am not sure about Jesus,Казахстан,Минск,Алматинская область,Как мне стать ближе к церкви и христианскому сообществу?,General
94c1b944-fa30-4d06-9b6c-5997db664910,Имя_50,Фамилия_68,GMO,ru,I want to come back to Jesus,Беларусь,Алматы,Минская область,Молитва помогает в духовной борьбе?,Spiritual Warfare
94c1b944-fa30-4d06-9b6c-5997db664911,Имя_55,Фамилия_23,GMO,ru,I just decided to follow Jesus,Украина,Алматы,Алматинская область,"Как мне понять, что Бог меня слышит?",Spiritual Warfare
94c1b944-fa30-4d06-9b6c-5997db664912,Имя_58,Фамилия_83,GMO,ru,I want to come back to Jesus,Украина,Киев,Минская область,"Как мне укрепить свою веру в трудные времена и справляться с сомнениями, когда мне кажется, что Бог меня не слышит?",General
94c1b944-fa30-4d06-9b6c-5997db664913,Имя_45,Фамилия_14,GMO,ru,Christian - grow in my faith,Беларусь,Москва,Минская область,"Я потерял работу и не знаю, как дальше жить. Как мне найти покой в вере и довериться Божьему плану?",Crisis
94c1b944-fa30-4d06-9b6c-5997db664914,Имя_90,Фамилия_27,GMO,ru,I want to come back to Jesus,Казахстан,Киев,Алматинская область,"Что делать, если мой супруг не верит в Бога, а я хочу, чтобы наша семья следовала христианским ценностям?",Family and Marriage
94c1b944-fa30-4d06-9b6c-5997db664915,Имя_50,Фамилия_81,GMO,ru,I do not want to follow Jesus,Казахстан,Киев,Минская область,"Почему Бог допускает страдания в мире, если Он всемогущ? Мне трудно понять, и я ищу ответы в вере.",Crisis
94c1b944-fa30-4d06-9b6c-5997db664916,Имя_3,Фамилия_7,GMO,ru,I do not want to follow Jesus,Россия,Киев,Алматинская область,"Как бороться с негативными мыслями и депрессией? Мне кажется, что я одинок в этом мире, но хочу найти путь к Богу.",Crisis
94c1b944-fa30-4d06-9b6c-5997db664917,Имя_3,Фамилия_97,GMO,ru,I want to come back to Jesus,Украина,Алматы,Киевская область,"Я был христианином, но теперь не уверен. Я испытываю сильные сомнения и задаю себе вопросы, которые раньше никогда не возникали. Как мне найти уверенность в вере снова и понять, что Бог по-прежнему со мной, несмотря на мои сомнения?",Crisis
94c1b944-fa30-4d06-9b6c-5997db664918,Имя_27,Фамилия_53,GMO,ru,I just decided to follow Jesus,Казахстан,Алматы,Московская область,"Как мне наладить отношения с женой, если мы постоянно ссоримся из-за различий в наших убеждениях? Я хочу, чтобы наша семья была построена на христианских ценностях, но чувствую, что мы всё дальше отдаляемся друг от друга.",Family and Marriage
94c1b944-fa30-4d06-9b6c-5997db664919,Имя_70,Фамилия_29,GMO,ru,Christian - grow in my faith,Украина,Алматы,Киевская область,"Как мне справляться с духовными атаками и чувствовать себя защищённым? Иногда мне кажется, что весь мир против меня, и я не знаю, как найти силу внутри себя, чтобы оставаться верным своей вере и Богу.",Spiritual Warfare
44ac22ce-0111-4f04-b883-0474b7ad20ab,Имя_33,Фамилия_9,GMO,ru,I do not want to follow Jesus,Россия,Минск,Минская область,"Я много грешил в прошлом, и мне кажется, что я недостоин Божьей любви. Возможно ли для меня прощение, и как мне понять, что Бог действительно прощает меня?",Crisis
