contact_uuid,first_name,last_name,source,language_code,decision,country,region,state,messages,topic
22fec374-4206-4db9-b8cb-ab82db9c0f98,نام_60,کنیت_98,GMO,ur,I want to come back to Jesus,بھارت,لاہور,پنجاب,میں عیسائیوں کے درمیان مدد کیسے حاصل کر سکتا ہوں؟,General
e816ded5-de1f-4c48-b954-59cf58611a5c,نام_20,کنیت_54,GMO,ur,I want to come back to Jesus,بھارت,دبئی,دبئی کا علاقہ,روزمرہ کی زندگی میں گناہوں سے بچنے کا طریقہ کیا ہے؟,General
d8188e73-b4a9-4f0b-84af-53adc66cdef7,نام_49,کنیت_55,GMO,ur,I just decided to follow Jesus,برطانیہ,کراچی,دبئی کا علاقہ,مستقبل کے خوف پر قابو کیسے پایا جائے؟,General
71ed2de7-95cf-4470-83bf-e7ca7d79b6e2,نام_91,کنیت_57,GMO,ur,Christian - grow in my faith,بھارت,دبئی,پنجاب,چرچ اور مسیحی کمیونٹی کے قریب کیسے ہوں؟,General
caef393d-ab87-4313-a3b8-c4db3efc7d42,نام_66,کنیت_81,GMO,ur,I just decided to follow Jesus,برطانیہ,دبئی,سندھ,کیا دعا روحانی جنگ میں مدد کرتی ہے؟,Spiritual Warfare
86317fd3-9d38-4d93-a4ec-209026327cc7,نام_67,کنیت_69,GMO,ur,I am not sure about Jesus,بھارت,لندن,پنجاب,میں کیسے جان سکتا ہوں کہ خدا میری سنتا ہے؟,Spiritual Warfare
b14ba52c-7fc6-4ae7-a8b2-35785065e4be,نام_85,کنیت_44,GMO,ur,I just decided to follow Jesus,متحدہ عرب امارات,دبئی,دبئی کا علاقہ,میں اپنا ایمان مضبوط کرنا چاہتا ہوں، لیکن میں نہیں جانتا کہ کہاں سے شروع کروں۔,General
fc9774e0-cfe8-40ab-bf1d-03b740053f1e,نام_81,کنیت_41,GMO,ur,I do not want to follow Jesus,بھارت,دبئی,انگلینڈ,میں نے اپنی نوکری کھو دی ہے اور نہیں جانتا کہ کیا کرنا ہے۔ خدا کے منصوبے پر کیسے یقین رکھوں؟,Crisis
424dd684-0f21-4403-a8b6-bed7eb0b4ebd,نام_27,کنیت_44,GMO,ur,I am not sure about Jesus,متحدہ عرب امارات,دبئی,پنجاب,اگر میرا شریک حیات خدا پر ایمان نہیں رکھتا اور میں چاہتا ہوں کہ میرا خاندان مسیحی اقدار کی پیروی کرے تو میں کیا کروں؟,Family and Marriage
a96f520c-0bbb-4107-b833-3700ce61ec14,نام_7,کنیت_18,GMO,ur,I just decided to follow Jesus,پاکستان,دبئی,دبئی کا علاقہ,اگر خدا سب کچھ کر سکتا ہے، تو دنیا میں اتنی تکلیف کیوں ہے؟ میں اس کو سمجھنے کی کوشش کر رہا ہوں۔,Crisis
664000f7-456d-4655-9cb8-6e7f20977354,نام_82,کنیت_68,GMO,ur,Christian - grow in my faith,بھارت,لاہور,دبئی کا علاقہ,منفی خیالات اور ڈپریشن سے کیسے نمٹا جائے؟ میں خود کو تنہا محسوس کرتا ہوں لیکن خدا کو تلاش کرنا چاہتا ہوں۔,Crisis
29bbd561-9583-43ba-bcaa-b0f600a6d7fd,نام_65,کنیت_9,GMO,ur,I am not sure about Jesus,متحدہ عرب امارات,لندن,انگلینڈ,میں ایک عیسائی تھا، لیکن اب مجھے شک ہے۔ مجھے کیسے معلوم ہو کہ خدا اب بھی میرے ساتھ ہے؟,Crisis
